representation,feature,r2_mean,r2_std,class_position_baseline_r2_mean,delta_r2_mean,correlation_mean,order_margin_mean,folds,mean_test_rows
multitask_temporal_student,liquid,0.3856338262557983,0.106418799680494,0.3776917695999146,0.0079420566558837,0.6394787022711158,0.3337782080702295,5,95.2
multitask_temporal_student,nasal,0.4687281727790832,0.0511868028969244,0.4682803511619567,0.0004478216171264,0.6991867060614699,0.1429755002419116,5,95.2
multitask_temporal_student,silence,0.7763964056968689,0.0323201723890268,0.7683811068534852,0.0080152988433837,0.8861765241369642,0.101135025928702,5,95.2
multitask_temporal_student,stop,0.3822432994842529,0.1315864761531281,0.3716639041900634,0.0105793952941894,0.6491054409166509,0.2282487762863106,5,95.2
multitask_temporal_student,vowel,0.956722903251648,0.0051441613110988,0.9553749918937684,0.0013479113578796,0.9786491925611516,0.0159966064895237,5,95.2
uwb,affricate,0.3483925819396972,0.1539240408745369,0.3462426424026489,0.0021499395370483,0.6224945564520209,0.0916545723886704,5,105.0
uwb,fricative,0.4238346099853515,0.0450731485829809,0.4094802141189575,0.014354395866394,0.6604082457220384,0.198389899612769,5,105.0
uwb,glide,0.3654793500900268,0.1445947906081396,0.3671371579170227,-0.0016578078269958,0.6296023794392277,0.367555259545009,5,105.0
uwb,liquid,0.3889973402023315,0.0972354183836016,0.3780938625335693,0.0109034776687622,0.636329115317657,0.3040537909073359,5,105.0
uwb,nasal,0.4879720091819763,0.0367361662296692,0.4861173868179321,0.0018546223640441,0.7080070774982155,0.1548804185170355,5,105.0
uwb,silence,0.7928333878517151,0.0274040355016529,0.7785973072052002,0.0142360806465148,0.8924129605348197,0.0837056119884094,5,105.0
uwb,stop,0.4173994898796082,0.0965243192289874,0.3953905701637268,0.0220089197158813,0.6642407448311068,0.21849770847955,5,105.0
uwb,vowel,0.9598855614662172,0.006023253744083,0.9576660513877868,0.0022195100784301,0.97997371283976,0.0132100477300016,5,105.0
