representation,feature,r2_mean,r2_std,class_position_baseline_r2_mean,delta_r2_mean,correlation_mean,order_margin_mean,folds,mean_test_rows
multitask_temporal_student,fricative,0.3139941453933715,0.0771905116300163,0.3099728941917419,0.0040212512016296,0.5978307526699018,0.3264658321126969,5,33.4
multitask_temporal_student,glide,0.3079932928085327,0.1946045246633561,0.301025640964508,0.0069676518440246,0.6251259194261566,0.6764406271713936,5,33.4
multitask_temporal_student,liquid,0.5104828715324402,0.1183211193994738,0.4960978031158447,0.0143850684165954,0.7240648837260772,0.4934629690206867,5,33.4
multitask_temporal_student,nasal,0.4118797421455383,0.0964271592504649,0.4006462693214416,0.0112334728240966,0.6577336138100851,0.1956117308093855,5,33.4
multitask_temporal_student,silence,0.6449376821517945,0.1218468711745549,0.6083739757537842,0.0365637063980102,0.8182665247216263,0.2720367645418653,5,33.4
multitask_temporal_student,stop,0.2983215928077697,0.2370461569570065,0.2842056155204773,0.0141159772872924,0.5863016056936508,0.2824854722633537,5,33.4
multitask_temporal_student,vowel,0.652282440662384,0.1149435108757621,0.6175127267837525,0.0347697138786315,0.8226953471109375,0.2690432054725878,5,33.4
uwb,affricate,0.2116470694541931,0.1772664863276002,0.1839531779289245,0.0276938915252685,0.4280414173425219,0.2494078028794383,5,35.6
uwb,fricative,0.3346806526184082,0.07379660320637,0.3224928736686706,0.0121877789497375,0.6063952331118394,0.3099171068685701,5,35.6
uwb,glide,0.2784864902496338,0.3280079672332804,0.2693983793258667,0.009088110923767,0.6457410924553322,0.7044404344951094,5,35.6
uwb,liquid,0.5125163674354554,0.1252168001046671,0.5086280941963196,0.0038882732391357,0.7241622344463796,0.4853335247207545,5,35.6
uwb,nasal,0.4102010369300842,0.0943630911040429,0.4138771653175354,-0.0036761283874511,0.6568735614285222,0.1613023908999965,5,35.6
uwb,silence,0.6558404445648194,0.0875975014524994,0.6263032913208008,0.0295371532440185,0.8184603486886711,0.2207832219377724,5,35.6
uwb,stop,0.3403470993041992,0.1951537255422323,0.3025550484657288,0.0377920508384704,0.6031872713286581,0.2569499543071375,5,35.6
uwb,vowel,0.6581050038337708,0.1026573589014205,0.6324952006340027,0.025609803199768,0.8185101557838023,0.2227655453662809,5,35.6
